Name,Predicted_Solubility
CHEMBL1922200_0,-4.970810000000001
CHEMBL382823_0,-3.4628700000000014
CHEMBL223460_0,-2.978850000000001
CHEMBL1922215_0,-6.10818
CHEMBL1288038_0,-3.960719999999997
CHEMBL3695632_0,-4.014170000000001
CHEMBL124660_0,-7.068920000000004
CHEMBL383760_0,-4.1696100000000005
CHEMBL3909478_0,-1.84251
CHEMBL382822_0,-5.090179999999998
CHEMBL3695658_0,-2.84489
CHEMBL3356126_0,-0.6892799999999997
CHEMBL3781159_0,-7.854430000000003
CHEMBL3185338_0,-2.843859999999999
CHEMBL3781543_0,-7.917230000000003
CHEMBL208048_0,-5.637179999999996
CHEMBL188502_0,-7.705410000000003
CHEMBL232610_0,-3.4046599999999985
CHEMBL3909574_0,-1.2336599999999995
CHEMBL1922204_0,-2.02305
CHEMBL1922212_0,-2.9863100000000005
CHEMBL2408045_0,-4.998849999999999
CHEMBL206783_0,-4.982939999999998
CHEMBL3318032_0,-0.5045649999999999
CHEMBL3695652_0,-1.8774900000000008
CHEMBL1922203_0,-5.01506
CHEMBL1922211_0,-4.721700000000001
CHEMBL2338335_0,-1.4405399999999993
CHEMBL2338333_0,-1.4159199999999996
CHEMBL1922118_0,-4.254130000000001
CHEMBL207130_0,-3.820180000000002
CHEMBL1922213_0,-4.122909999999999
CHEMBL1922115_0,-3.77178
CHEMBL3947385_0,-6.264119999999998
CHEMBL3785951_0,-2.0086399999999998
CHEMBL3695629_0,-1.8131099999999998
CHEMBL1922206_0,-4.966290000000002
CHEMBL1922218_0,-0.7056599999999998
CHEMBL3695645_0,-1.823890000000001
CHEMBL373646_0,-3.1153799999999983
CHEMBL3780350_0,-7.852330000000003
CHEMBL212968_0,-6.556949999999997
CHEMBL4127417_0,0.23090000000000013
CHEMBL1922201_0,-6.10818
CHEMBL391656_0,-4.913740000000001
CHEMBL232601_0,-3.3772699999999998
CHEMBL207037_0,-2.6806900000000002
CHEMBL1922199_0,-4.122909999999999
CHEMBL1922123_0,-2.9863100000000005
CHEMBL3786167_0,-1.9441599999999994
CHEMBL3669123_0,-1.1753600000000004
CHEMBL190984_0,-5.20345
CHEMBL383246_0,-5.590079999999998
CHEMBL177688_0,-4.415729999999999
CHEMBL3695636_0,-0.34998666666666667
CHEMBL2338334_0,-1.4405399999999993
CHEMBL379905_0,-2.60305
CHEMBL3695635_0,-0.48343
CHEMBL455641_0,-0.5457299999999998
CHEMBL213423_0,-6.535999999999998
CHEMBL1288067_0,-4.062229999999998
CHEMBL383541_0,-3.077239999999999
CHEMBL188386_0,-5.379359999999998
CHEMBL281948_0,-2.96728
CHEMBL3780151_0,-6.623169999999999
CHEMBL215652_0,-6.3478699999999995
CHEMBL3947134_0,-1.23296
CHEMBL378963_0,-7.537420000000003
CHEMBL1288039_0,-1.8053600000000012
CHEMBL376967_0,-3.02201
CHEMBL207544_0,-5.590450000000003
CHEMBL608533_0,-7.317000000000005
CHEMBL208118_0,-2.985159999999999
CHEMBL3695644_0,-3.8941499999999984
CHEMBL574737_0,-3.8110000000000013
CHEMBL3785500_0,-6.76251
CHEMBL207687_0,-2.985159999999999
CHEMBL31965_0,-5.063619999999997
CHEMBL3695628_0,-0.5642199999999999
CHEMBL2036343_0,-2.5240799999999983
CHEMBL3695637_0,-2.21712
CHEMBL379601_0,-1.94808
CHEMBL1922120_0,-2.0607999999999995
CHEMBL1922122_0,-4.721700000000001
CHEMBL106966_0,-2.735
CHEMBL3695655_0,-0.4110366666666667
CHEMBL571040_0,-5.346699999999998
CHEMBL4089284_0,-4.513985999999999
CHEMBL1288098_0,-3.4861500000000016
CHEMBL4125742_0,0.15727000000000005
CHEMBL3695654_0,-3.7965533333333337
CHEMBL323336_0,-5.144669999999999
CHEMBL3398596_0,-6.82295
CHEMBL233794_0,-6.974430000000001
CHEMBL551064_0,-7.893860000000001
CHEMBL379929_0,-5.0015300000000025
CHEMBL1922117_0,-6.017989999999995
CHEMBL14762_0,-2.7181599999999997
CHEMBL1908360_0,-7.180020000000002
CHEMBL3695656_0,-1.8185000000000002
CHEMBL378370_0,-3.55618
CHEMBL3695662_0,-6.205119999999999
CHEMBL1240703_0,-6.3961000000000015
CHEMBL207235_0,-2.54097
CHEMBL211003_0,-3.6961300000000006
