,Name,ATS0p,ATS3p,AATS5p,AATS2i,AATS5i,AATS6i,ATSC0m,ATSC0p,AATSC3c,BCUTp-1h,SpMax1_Bhm,SpMax2_Bhm,SpMax3_Bhm,SpMax4_Bhm,SpMax6_Bhm,SpMax1_Bhe,SpMax1_Bhi,VCH-7,VP-1,VP-3,VP-4,VP-5,VP-6,CrippenLogP,SpDiam_Dt,minHBa,maxwHBa,meanI,hmin,LipoaffinityIndex,MAXDN,MAXDP,ETA_BetaP_ns_d,ETA_Eta,ETA_Eta_F,ETA_EtaP_F,BIC0,ZMIC1,MLFER_BO,piPC2,piPC6,XLogP
31,CHEMBL1922213_0,76.13036533577184,163.95499764007417,1.1466891115446969,159.6870764838653,169.86348403555985,166.88566198329016,1878.127502909089,11.82230990636079,-0.00092368684516929,10.350899524296594,4.059982589180349,3.77700530454604,3.5699173644252613,3.3878469999454026,3.0578717227200096,4.074076782809918,4.127995434889642,0.122062822156398,9.461641076345462,4.6171797279859765,2.993484583675712,1.7377822420568598,1.011572554018829,4.661570000000006,367.8777859455853,2.027001133786848,2.06728320339206,2.123456790123457,0.0039085726883344,8.530486739262605,1.8286718988049255,3.95965791905002,0.03704,25.0557,24.25388,0.89829,0.2458124356398298,46.05027752831235,1.904,4.230476736546681,6.281127079029633,4.180000000000001
32,CHEMBL1922115_0,77.78497824062084,166.22773323347022,1.1444058512110005,160.97860812538437,170.17961838223886,167.04349119067192,1963.8737077192984,11.991736949989289,-0.00020208720018815085,10.360124424430332,4.059946354319356,3.7622304279358536,3.588493765691773,3.3982408345256183,3.0620660559839203,4.073938359306335,4.127982766159224,0.1169505707982299,9.859443098375236,4.777922724253248,3.079888420838924,1.8641051590836195,1.0205654657118868,4.906570000000007,385.9964110961738,2.019188633786848,1.9603043236859077,2.136904761904762,-0.0035850497606451,8.04969349313816,1.7877459728789995,4.256949011795658,0.03571,26.77427,25.06789,0.89528,0.2472856428176556,45.449543013158944,2.1920000000000006,4.244917420701475,6.286725250923157,2.894
33,CHEMBL3947385_0,76.5389886678859,141.12764170309407,1.575743009348552,149.4218700080185,158.38342609023226,156.51648748898037,1804.831145121952,11.500040976022488,-0.0031155197706038,11.96469451646076,4.309310459552327,3.847507027155215,3.735172628423376,3.4469719813488866,3.046885834111285,4.030886069540454,4.043313306039184,0.2391877308882189,8.981956619746413,5.007092662043014,3.599940340715592,2.37775004599438,1.3902019069796414,6.392650000000003,396.6322778206051,-1.5112033439826906,2.361380441448082,2.227709190672153,-0.025342261904762,6.562443268259745,2.1593514921308388,3.745307873335888,0.03704,16.41321,29.99702,1.111,0.2923627124427873,52.70674804576117,1.7889999999999997,4.385146762010125,6.429996657363335,4.007000000000001
34,CHEMBL3785951_0,99.4723868600168,236.0162117436215,1.1568160278843302,158.93283110595266,165.385700641605,165.25033099958216,2539.361918184202,15.524936015809004,-0.0011208403267799,11.358282064120097,4.149370554204424,3.8197138894692793,3.7337131574396425,3.603197713811399,3.25790711784424,4.165887070470669,4.198435412653222,0.5221345160296753,13.12548964404208,8.084241893455095,5.676114484390925,3.8626292459493112,2.5321668450252623,3.6985900000000074,694.8425059107734,1.907980759681997,1.9648377703545448,2.2252252252252256,-0.1939919804320899,10.46154504629218,2.012409578156332,7.149935442648909,0.04054,37.6127,35.61847,0.96266,0.2542913523872928,50.13503546508674,3.3920000000000003,4.572130331909891,6.939238805423013,1.8179999999999992
35,CHEMBL3695629_0,63.96074028728202,118.33526091733891,1.275026044657145,159.69794043653008,165.03640695610835,164.9840635825074,1497.2186296279065,9.039860131861628,-0.0031106614123835,9.284527697572816,3.989175541311864,3.799475491231325,3.5325020425845914,3.314021627543968,2.945759960658028,4.008000279469467,4.051718310061151,0.0732179196943502,7.774115573368295,3.348158612524451,2.170878625154626,1.3842730925115232,0.7479890138063051,4.5237700000000025,336.643117063355,2.6467865416502194,1.8801606913809292,2.3266666666666667,0.1242613851095993,6.425496862584153,1.977017017917055,4.588107134491168,0.06,15.74447,25.88962,1.03558,0.287358535975672,42.36955182799061,2.3360000000000007,4.219507705176107,6.264766373919434,2.467
36,CHEMBL1922206_0,81.46310405031883,179.39849113262142,1.1433578175004036,160.64949415176602,170.00100095919726,166.45438752867813,2056.58960685,12.677946208454188,-3.6777436126201705e-05,10.379775476265769,4.059993909725358,3.762233270644784,3.6170395704866056,3.413323456170857,3.0623677124076965,4.0739999745573305,4.128033513235998,0.1169505707982299,10.232121898437418,4.990478865970865,3.2185892948351613,1.9972320197806404,1.049091394935661,5.152570000000007,403.7646157810401,2.0217928004535146,1.961681734154227,2.126436781609196,-0.0188911722096246,8.643275572449546,1.8201533802864076,4.525467530314177,0.03448,29.52943,25.72618,0.88711,0.2418531921158073,47.268979018704975,2.212,4.273187854639731,6.2922922576750135,3.191
37,CHEMBL1922218_0,74.10685243092287,158.55481120037624,1.1555508534971728,161.4819148839544,169.9264870392658,167.57684156044044,1869.8238945370383,11.303832165387435,-0.0009898764644830815,10.34568661474603,4.059945836340189,3.764166409998327,3.56987100345383,3.3867864327022192,3.056231408591782,4.073974755586914,4.127967278009608,0.1169505707982299,9.31137218917312,4.49714717041841,2.900316551493682,1.6623846062828411,0.9823687293746564,4.056570000000006,367.8777859455853,2.0146554547745024,2.00478320339206,2.160493827160494,0.0100814121945073,7.6205784231716285,1.836936361614843,3.952713474605576,0.03704,24.76287,24.54672,0.90914,0.2531477016931552,43.5789299437442,2.1920000000000006,4.230476736546681,6.281127079029633,2.151
38,CHEMBL3695645_0,68.28207009697995,127.88559538964093,1.2523613849029267,161.19364194402618,165.12373431722767,165.00443004829705,1674.5738484255303,9.857497087201276,-0.004984307781068,9.51516736037934,3.990274931890999,3.82974894206678,3.5336401948793745,3.314205138955081,3.0225730590687028,4.008951743703353,4.052146417240319,0.0796587861558753,8.297171611587048,3.609584424331852,2.376133146893067,1.5433385758348903,0.8376556466796055,4.532370000000003,381.3146897875703,2.6455913245758818,1.8143736543438924,2.3456790123456788,0.1135286928972409,6.506164120221673,1.9906811204922463,4.643125538960122,0.07407,18.3948,29.00239,1.07416,0.287429317977808,43.59468250184672,2.501,4.276666119016055,6.3508311777057,2.023
39,CHEMBL373646_0,80.68321371637586,174.7140010675273,1.1969543031613217,155.38709221123077,166.12289983109764,165.24685454842623,2502.7755028269225,12.475486090971684,0.0017710658776425,10.692288141433703,4.117918895849302,3.92719898064544,3.717485823048068,3.6522256213096855,3.19478268385995,4.124019721285927,4.157032265296042,0.2833624127345329,10.03543059475128,5.629869502151427,4.089506788568079,2.3139258844456245,1.3417419950047167,3.0723000000000047,422.5618375970478,0.8212176360796253,2.2073360442936467,2.048059964726631,-0.124283718637802,9.34990475344904,1.7241753800285544,5.59758140308465,0.01786,23.01909,26.02636,0.92951,0.2635542056126599,43.72993600728777,1.958,4.356708826689592,6.597763689610495,3.5010000000000003
40,CHEMBL3780350_0,69.63148066788592,134.64059774394303,1.5419553009689595,147.20530513007847,158.16702759092814,154.1947419608753,1163.861744769231,8.556147815824358,0.0005834920451375509,9.978252699131287,4.047469812010655,3.835859451914006,3.748571484137193,3.290926645752569,2.9324735919732885,4.067513640981659,4.101967010796752,0.0925659918912571,7.842234515180888,3.821332134150511,2.6085430488559207,1.7572354580258578,0.8987314314004998,5.549970000000003,387.2434389119119,3.271690444696397,5.458813958634,2.1466666666666665,0.0272075774754345,9.20054666960351,1.0150156420592928,1.7066265117157975,0.02,13.43913,27.86307,1.11452,0.2321947327858357,56.32287163900644,1.7880000000000005,4.400603020246817,6.714777141999654,5.918000000000002
